// Gift Box Obtainable Items Database
//
// Structure of Database:
// GroupID,ItemID,Rate

//Quests
11,5086,10
11,5175,10
11,2284,10
11,2296,10
11,5057,10
11,5016,10
11,2214,10
11,5110,10
11,5107,10
11,5082,10
11,2283,10
11,5170,10
11,5069,10
11,5001,10
11,5070,10
11,5071,10
11,5073,10
11,2278,10
11,5117,10
11,5094,10
11,5004,10
11,2293,10
11,5012,10
11,5109,10
11,5032,10
11,5083,10
11,5108,300
11,5078,300
11,5243,10
11,2272,10
11,5059,300
11,5077,10
11,5171,1
11,2292,10
11,5115,10
11,5121,10
11,5074,100
11,5068,100
11,5025,10
11,5038,300
11,5173,10
11,5174,10
11,5091,10
11,5080,10
11,5081,10
11,5176,10
11,5177,10
11,5169,10
11,5079,10
11,5063,10
11,5061,10
11,5042,10
11,5048,10
11,5047,10
11,5041,10
11,5036,10
11,5034,10
11,5049,10
11,5052,10
11,2273,10
11,5018,100
11,2281,10
11,2280,10
11,5058,100
11,5022,1
11,5064,10
11,5084,10
11,5065,10
11,5032,10
11,5027,10
11,5045,10
11,5031,10
11,5023,10
11,5021,10
11,5043,10
11,5033,300
11,5039,10
11,5029,10
11,5050,10
11,5060,10
11,5062,10
11,5075,10
11,5067,10
11,5076,10
11,5040,10
11,5024,10
11,5028,10
11,5026,10

//Drops
11,2248,10 
11,2236,10 
11,2213,10
11,5015,10
11,5037,10
11,2221,10
11,2227,10 
11,2252,10
11,2275,10
11,2247,10 
11,2211,10 
11,2271,10 
11,5009,10 
11,2233,10 
11,2294,10 
11,2269,10 
11,2249,10 
11,2229,10 
11,2254,10 
11,2286,10 
11,5030,10 
11,5120,10 
11,2244,10 
11,2209,10 
11,2285,10 
11,5010,10 
11,2299,10 
11,5172,10 
11,2288,10 
11,2288,10 
11,5125,10 
11,2261,10 
11,5116,10 
//11,5280,10
11,2217,10 
11,2216,10 
11,5398,10 
11,5017,10 
11,5114,10 
11,5145,10 
11,2232,10 
11,5019,10 
11,2235,10 
//11,5369,10
11,2215,10 
11,5302,10 
11,5124,10 
11,2290,10 
11,5111,10 
11,2230,10 
11,2231,10 
11,2274,10 
11,5128,10 
11,2246,10 
11,5007,10 
11,2298,10 
11,2210,10 
11,2282,10 
11,5072,10 
11,5002,10 
11,5122,10 
11,5399,10 
11,5141,10 
11,2259,10 
11,2251,10 
11,5126,10 
11,5127,10 
11,5055,10 
11,2277,10 
11,2287,10  
11,2289,10  
11,5035,10  
11,5118,10  
11,5008,10  
11,2258,10  
11,5066,10  
11,2253,10  
11,5112,10  
11,5119,10  
11,2245,10  
11,2234,10  
11,2222,10  
11,2223,10  
11,5123,10  
11,2257,10  
11,2206,10  
11,2207,10  
11,5058,10 
